enrollment_datetime,student_id,schedule_id
2024-01-24 23:47:11.207,1,1
2024-01-24 23:47:11.207,2,1
2024-01-24 23:47:11.207,3,1
2024-01-24 23:47:11.207,4,1
2024-01-24 23:47:11.207,5,1
2024-01-24 23:47:11.207,6,1
2024-01-24 23:47:11.207,7,1
2024-01-24 23:47:11.207,8,1
2024-01-24 23:47:11.207,9,1
2024-01-24 23:47:11.207,10,1
2024-01-24 23:47:11.207,11,1
2024-01-24 23:47:11.207,12,1
2024-01-24 23:47:11.207,13,1
2024-01-24 23:47:11.207,14,1
2024-01-24 23:47:11.207,15,1
2024-01-24 23:47:11.207,16,1
2024-01-24 23:47:11.207,17,1
2024-01-24 23:47:11.207,18,1
2024-01-24 23:47:11.207,19,1
2024-01-24 23:47:11.207,20,1
2024-01-24 23:47:11.207,1,2
2024-01-24 23:47:11.207,2,2
2024-01-24 23:47:11.207,3,2
2024-01-24 23:47:11.207,4,2
2024-01-24 23:47:11.207,5,2
2024-01-24 23:47:11.207,6,2
2024-01-24 23:47:11.207,7,2
2024-01-24 23:47:11.207,8,2
2024-01-24 23:47:11.207,9,2
2024-01-24 23:47:11.207,10,2
2024-01-24 23:47:11.207,11,2
2024-01-24 23:47:11.207,12,2
2024-01-24 23:47:11.207,13,2
2024-01-24 23:47:11.207,14,2
2024-01-24 23:47:11.207,15,2
2024-01-24 23:47:11.207,16,2
2024-01-24 23:47:11.207,17,2
2024-01-24 23:47:11.207,18,2
2024-01-24 23:47:11.207,19,2
2024-01-24 23:47:11.207,20,2
2024-01-24 23:47:11.207,21,3
2024-01-24 23:47:11.207,22,3
2024-01-24 23:47:11.207,23,3
2024-01-24 23:47:11.207,24,3
2024-01-24 23:47:11.207,25,3
2024-01-24 23:47:11.207,26,3
2024-01-24 23:47:11.207,27,3
2024-01-24 23:47:11.207,28,3
2024-01-24 23:47:11.207,29,3
2024-01-24 23:47:11.207,30,3
2024-01-24 23:47:11.207,31,3
2024-01-24 23:47:11.207,32,3
2024-01-24 23:47:11.207,33,3
2024-01-24 23:47:11.207,34,3
2024-01-24 23:47:11.207,35,3
2024-01-24 23:47:11.207,36,3
2024-01-24 23:47:11.207,37,3
2024-01-24 23:47:11.207,38,3
2024-01-24 23:47:11.207,39,3
2024-01-24 23:47:11.207,40,3
2024-01-24 23:47:11.207,21,4
2024-01-24 23:47:11.207,22,4
2024-01-24 23:47:11.207,23,4
2024-01-24 23:47:11.207,24,4
2024-01-24 23:47:11.207,25,4
2024-01-24 23:47:11.207,26,4
2024-01-24 23:47:11.207,27,4
2024-01-24 23:47:11.207,28,4
2024-01-24 23:47:11.207,29,4
2024-01-24 23:47:11.207,30,4
2024-01-24 23:47:11.207,31,4
2024-01-24 23:47:11.207,32,4
2024-01-24 23:47:11.207,33,4
2024-01-24 23:47:11.207,34,4
2024-01-24 23:47:11.207,35,4
2024-01-24 23:47:11.207,36,4
2024-01-24 23:47:11.207,37,4
2024-01-24 23:47:11.207,38,4
2024-01-24 23:47:11.207,39,4
2024-01-24 23:47:11.207,40,4
2024-01-24 23:47:11.207,41,5
2024-01-24 23:47:11.207,42,5
2024-01-24 23:47:11.207,43,5
2024-01-24 23:47:11.207,44,5
2024-01-24 23:47:11.207,45,5
2024-01-24 23:47:11.207,46,5
2024-01-24 23:47:11.207,47,5
2024-01-24 23:47:11.207,48,5
2024-01-24 23:47:11.207,49,5
2024-01-24 23:47:11.207,50,5
2024-01-24 23:47:11.207,51,5
2024-01-24 23:47:11.207,52,5
2024-01-24 23:47:11.207,53,5
2024-01-24 23:47:11.207,54,5
2024-01-24 23:47:11.207,55,5
2024-01-24 23:47:11.207,56,5
2024-01-24 23:47:11.207,57,5
2024-01-24 23:47:11.207,58,5
2024-01-24 23:47:11.207,59,5
2024-01-24 23:47:11.207,60,5
2024-01-24 23:47:11.207,1,6
2024-01-24 23:47:11.207,2,6
2024-01-24 23:47:11.207,3,6
2024-01-24 23:47:11.207,4,6
2024-01-24 23:47:11.207,5,6
2024-01-24 23:47:11.207,6,6
2024-01-24 23:47:11.207,7,6
2024-01-24 23:47:11.207,8,6
2024-01-24 23:47:11.207,9,6
2024-01-24 23:47:11.207,10,6
2024-01-24 23:47:11.207,11,6
2024-01-24 23:47:11.207,12,6
2024-01-24 23:47:11.207,13,6
2024-01-24 23:47:11.207,14,6
2024-01-24 23:47:11.207,15,6
2024-01-24 23:47:11.207,16,6
2024-01-24 23:47:11.207,17,6
2024-01-24 23:47:11.207,18,6
2024-01-24 23:47:11.207,19,6
2024-01-24 23:47:11.207,20,6
