exam_submission_datetime,student_id,exam_id,question_id,answer_id
2024-01-26 09:56:32.723,1,3,5,24
2024-01-26 09:56:32.723,1,3,6,29
2024-01-26 09:56:32.723,1,3,7,34
2024-01-26 09:56:32.723,1,3,8,39
2024-01-26 09:56:32.723,1,3,9,44
2024-01-26 09:56:32.723,1,3,10,47
2024-01-26 09:56:32.723,1,3,11,52
2024-01-26 09:56:32.723,1,3,12,57
2024-01-26 09:56:32.723,1,6,17,84
2024-01-26 09:56:32.723,1,6,18,89
2024-01-26 09:56:32.723,1,6,19,94
2024-01-26 09:56:32.723,1,6,20,99
2024-01-26 09:56:32.723,1,6,21,104
2024-01-26 09:56:32.723,1,6,22,109
2024-01-26 09:56:32.723,1,6,23,112
2024-01-26 09:56:32.723,1,6,24,117
2024-01-26 09:56:32.723,1,15,53,264
2024-01-26 09:56:32.723,1,15,54,269
2024-01-26 09:56:32.723,1,15,55,274
2024-01-26 09:56:32.723,1,15,56,279
2024-01-26 09:56:32.723,1,15,57,284
2024-01-26 09:56:32.723,1,15,58,287
2024-01-26 09:56:32.723,1,15,59,292
2024-01-26 09:56:32.723,1,15,60,297
2024-01-26 09:56:32.723,1,18,65,324
2024-01-26 09:56:32.723,1,18,66,327
2024-01-26 09:56:32.723,1,18,67,332
2024-01-26 09:56:32.723,1,18,68,337
2024-01-26 09:56:32.723,1,18,69,342
2024-01-26 09:56:32.723,1,18,70,347
2024-01-26 09:56:32.723,1,18,71,352
2024-01-26 09:56:32.723,1,18,72,357
2024-01-26 09:56:32.723,2,3,5,24
2024-01-26 09:56:32.723,2,3,6,29
2024-01-26 09:56:32.723,2,3,7,34
2024-01-26 09:56:32.723,2,3,8,37
2024-01-26 09:56:32.723,2,3,9,42
2024-01-26 09:56:32.723,2,3,10,47
2024-01-26 09:56:32.723,2,3,11,52
2024-01-26 09:56:32.723,2,3,12,57
2024-01-26 09:56:32.723,2,6,17,82
2024-01-26 09:56:32.723,2,6,18,87
2024-01-26 09:56:32.723,2,6,19,92
2024-01-26 09:56:32.723,2,6,20,97
2024-01-26 09:56:32.723,2,6,21,102
2024-01-26 09:56:32.723,2,6,22,107
2024-01-26 09:56:32.723,2,6,23,112
2024-01-26 09:56:32.723,2,6,24,117
2024-01-26 09:56:32.723,2,15,53,264
2024-01-26 09:56:32.723,2,15,54,269
2024-01-26 09:56:32.723,2,15,55,274
2024-01-26 09:56:32.723,2,15,56,279
2024-01-26 09:56:32.723,2,15,57,282
2024-01-26 09:56:32.723,2,15,58,287
2024-01-26 09:56:32.723,2,15,59,292
2024-01-26 09:56:32.723,2,15,60,297
2024-01-26 09:56:32.723,2,18,65,324
2024-01-26 09:56:32.723,2,18,66,329
2024-01-26 09:56:32.723,2,18,67,334
2024-01-26 09:56:32.723,2,18,68,339
2024-01-26 09:56:32.723,2,18,69,344
2024-01-26 09:56:32.723,2,18,70,349
2024-01-26 09:56:32.723,2,18,71,352
2024-01-26 09:56:32.723,2,18,72,357
2024-01-26 09:56:32.723,3,3,5,24
2024-01-26 09:56:32.723,3,3,6,29
2024-01-26 09:56:32.723,3,3,7,34
2024-01-26 09:56:32.723,3,3,8,39
2024-01-26 09:56:32.723,3,3,9,44
2024-01-26 09:56:32.723,3,3,10,49
2024-01-26 09:56:32.723,3,3,11,54
2024-01-26 09:56:32.723,3,3,12,57
2024-01-26 09:56:32.723,3,6,17,84
2024-01-26 09:56:32.723,3,6,18,89
2024-01-26 09:56:32.723,3,6,19,94
2024-01-26 09:56:32.723,3,6,20,99
2024-01-26 09:56:32.723,3,6,21,104
2024-01-26 09:56:32.723,3,6,22,109
2024-01-26 09:56:32.723,3,6,23,112
2024-01-26 09:56:32.723,3,6,24,117
2024-01-26 09:56:32.723,3,15,53,264
2024-01-26 09:56:32.723,3,15,54,269
2024-01-26 09:56:32.723,3,15,55,274
2024-01-26 09:56:32.723,3,15,56,279
2024-01-26 09:56:32.723,3,15,57,284
2024-01-26 09:56:32.723,3,15,58,287
2024-01-26 09:56:32.723,3,15,59,292
2024-01-26 09:56:32.723,3,15,60,297
2024-01-26 09:56:32.723,3,18,65,324
2024-01-26 09:56:32.723,3,18,66,329
2024-01-26 09:56:32.723,3,18,67,334
2024-01-26 09:56:32.723,3,18,68,339
2024-01-26 09:56:32.723,3,18,69,342
2024-01-26 09:56:32.723,3,18,70,347
2024-01-26 09:56:32.723,3,18,71,352
2024-01-26 09:56:32.723,3,18,72,357
2024-01-26 09:56:32.723,4,3,5,24
2024-01-26 09:56:32.723,4,3,6,29
2024-01-26 09:56:32.723,4,3,7,34
2024-01-26 09:56:32.723,4,3,8,39
2024-01-26 09:56:32.723,4,3,9,44
2024-01-26 09:56:32.723,4,3,10,47
2024-01-26 09:56:32.723,4,3,11,52
2024-01-26 09:56:32.723,4,3,12,57
2024-01-26 09:56:32.723,4,6,17,84
2024-01-26 09:56:32.723,4,6,18,89
2024-01-26 09:56:32.723,4,6,19,94
2024-01-26 09:56:32.723,4,6,20,99
2024-01-26 09:56:32.723,4,6,21,104
2024-01-26 09:56:32.723,4,6,22,109
2024-01-26 09:56:32.723,4,6,23,114
2024-01-26 09:56:32.723,4,6,24,117
2024-01-26 09:56:32.723,4,15,53,264
2024-01-26 09:56:32.723,4,15,54,269
2024-01-26 09:56:32.723,4,15,55,274
2024-01-26 09:56:32.723,4,15,56,279
2024-01-26 09:56:32.723,4,15,57,284
2024-01-26 09:56:32.723,4,15,58,289
2024-01-26 09:56:32.723,4,15,59,292
2024-01-26 09:56:32.723,4,15,60,297
2024-01-26 09:56:32.723,4,18,65,324
2024-01-26 09:56:32.723,4,18,66,329
2024-01-26 09:56:32.723,4,18,67,334
2024-01-26 09:56:32.723,4,18,68,339
2024-01-26 09:56:32.723,4,18,69,344
2024-01-26 09:56:32.723,4,18,70,349
2024-01-26 09:56:32.723,4,18,71,354
2024-01-26 09:56:32.723,4,18,72,357
2024-01-26 09:56:32.723,5,3,5,24
2024-01-26 09:56:32.723,5,3,6,29
2024-01-26 09:56:32.723,5,3,7,34
2024-01-26 09:56:32.723,5,3,8,39
2024-01-26 09:56:32.723,5,3,9,44
2024-01-26 09:56:32.723,5,3,10,49
2024-01-26 09:56:32.723,5,3,11,52
2024-01-26 09:56:32.723,5,3,12,57
2024-01-26 09:56:32.723,5,6,17,84
2024-01-26 09:56:32.723,5,6,18,89
2024-01-26 09:56:32.723,5,6,19,94
2024-01-26 09:56:32.723,5,6,20,99
2024-01-26 09:56:32.723,5,6,21,102
2024-01-26 09:56:32.723,5,6,22,107
2024-01-26 09:56:32.723,5,6,23,112
2024-01-26 09:56:32.723,5,6,24,117
2024-01-26 09:56:32.723,5,15,53,264
2024-01-26 09:56:32.723,5,15,54,269
2024-01-26 09:56:32.723,5,15,55,274
2024-01-26 09:56:32.723,5,15,56,279
2024-01-26 09:56:32.723,5,15,57,284
2024-01-26 09:56:32.723,5,15,58,289
2024-01-26 09:56:32.723,5,15,59,292
2024-01-26 09:56:32.723,5,15,60,297
2024-01-26 09:56:32.723,5,18,65,324
2024-01-26 09:56:32.723,5,18,66,329
